Periodo,Trimestre,Entidad_Federativa,Sexo,Poblacion_desocupada_abierta,Poblacion_Economicamente_Activa,Tasa_de_desocupacion,,
2015,4,Tlaxcala,Hombres,14858,330997,4.488862437,,
2015,4,Tlaxcala,Mujeres,13163,223350,5.893440788,,
2015,4,Veracruz,Hombres,94405,2073514,4.552899088,,
2015,4,Veracruz,Mujeres,33632,1056364,3.183751056,,
2015,4,Yucatán,Hombres,13839,616220,2.245788842,,
2015,4,Yucatán,Mujeres,12407,402217,3.084653309,,
2015,4,Zacatecas,Hombres,16331,417951,3.907395843,,
2015,4,Zacatecas,Mujeres,9110,225143,4.046317229,,
2016,1,Nacional,Hombres,1310338,32307966,4.055773737,,
2016,1,Nacional,Mujeres,801810,19833231,4.042760355,,
2016,1,Aguascalientes,Hombres,13829,340854,4.057162304,,
2016,1,Aguascalientes,Mujeres,8296,213212,3.890962985,,
2016,1,Baja California,Hombres,26723,984616,2.714052991,,
2016,1,Baja California,Mujeres,20247,622081,3.254720848,,
2016,1,Baja California Sur,Hombres,8657,212337,4.077009659,,
2016,1,Baja California Sur,Mujeres,7764,134082,5.790486419,,
2016,1,Campeche,Hombres,8256,249367,3.310782902,,
2016,1,Campeche,Mujeres,3904,132489,2.946659723,,
2016,1,Coahuila,Hombres,36643,819423,4.47180516,,
2016,1,Coahuila,Mujeres,22504,485009,4.639913899,,
2016,1,Colima,Hombres,9412,200840,4.686317467,,
2016,1,Colima,Mujeres,5736,145469,3.943108154,,
2016,1,Chiapas,Hombres,43502,1363782,3.189805995,,
2016,1,Chiapas,Mujeres,16192,582740,2.778597659,,
2016,1,Chihuahua,Hombres,37542,976788,3.84341331,,
2016,1,Chihuahua,Mujeres,11618,547217,2.123106556,,
2016,1,Ciudad de México,Hombres,149997,2551749,5.878203538,,
2016,1,Ciudad de México,Mujeres,106835,1962308,5.444354301,,
2016,1,Durango,Hombres,19294,472794,4.08084705,,
2016,1,Durango,Mujeres,14440,279103,5.17371723,,
2016,1,Guanajuato,Hombres,64435,1562500,4.12384,,
2016,1,Guanajuato,Mujeres,42218,1004917,4.20114298,,
2016,1,Guerrero,Hombres,22110,824414,2.681904965,,
2016,1,Guerrero,Mujeres,14492,563500,2.571783496,,
2016,1,Hidalgo,Hombres,24674,740893,3.330305456,,
2016,1,Hidalgo,Mujeres,22467,473595,4.743926773,,
2016,1,Jalisco,Hombres,92887,2219522,4.185000194,,
2016,1,Jalisco,Mujeres,57261,1380197,4.148755576,,
2016,1,México,Hombres,216292,4375323,4.943452175,,
2016,1,México,Mujeres,124393,2679528,4.642347458,,
2016,1,Michoacán,Hombres,34341,1199332,2.863343928,,
2016,1,Michoacán,Mujeres,17721,726838,2.438094871,,
2016,1,Morelos,Hombres,15864,481092,3.297498192,,
2016,1,Morelos,Mujeres,6145,317471,1.935609867,,
2016,1,Nayarit,Hombres,13184,322346,4.090015077,,
2016,1,Nayarit,Mujeres,8261,219446,3.764479644,,
2016,1,Nuevo León,Hombres,59970,1476599,4.061359922,,
2016,1,Nuevo León,Mujeres,46155,880486,5.241991355,,
2016,1,Oaxaca,Hombres,19297,973268,1.982701579,,
2016,1,Oaxaca,Mujeres,14088,627715,2.244330628,,
2016,1,Puebla,Hombres,51831,1663294,3.116165873,,
2016,1,Puebla,Mujeres,28250,998292,2.829833355,,
2016,1,Querétaro,Hombres,27887,543103,5.134753445,,
2016,1,Querétaro,Mujeres,10024,320856,3.124142918,,
2016,1,Quintana Roo,Hombres,15196,509209,2.984236335,,
2016,1,Quintana Roo,Mujeres,10720,309435,3.464378626,,
2016,1,San Luis Potosí,Hombres,21103,720235,2.930015898,,
2016,1,San Luis Potosí,Mujeres,12160,432092,2.814215491,,
2016,1,Sinaloa,Hombres,31703,823193,3.851223225,,
2016,1,Sinaloa,Mujeres,27124,524107,5.175279094,,
2016,1,Sonora,Hombres,37296,776843,4.80097008,,
2016,1,Sonora,Mujeres,29522,526739,5.604673282,,
2016,1,Tabasco,Hombres,45944,601175,7.642367031,,
2016,1,Tabasco,Mujeres,22212,343057,6.474725774,,
2016,1,Tamaulipas,Hombres,44657,929696,4.8033981,,
2016,1,Tamaulipas,Mujeres,32286,609805,5.294479383,,
2016,1,Tlaxcala,Hombres,12912,329406,3.919782882,,
2016,1,Tlaxcala,Mujeres,11154,217239,5.134437187,,
2016,1,Veracruz,Hombres,80593,2055204,3.921411208,,
2016,1,Veracruz,Mujeres,30506,956827,3.188246151,,
